Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_distance,driving_machine_monitor.path_curvature,driver_demands.steering
35.18831435,1.93E-05,8.64E-05,18.91717273,-4.98E-06,-5.14E-06,-3.88E-06,0,7.17E-05
35.37748659,1.91E-05,8.64E-05,18.9172766,-4.98E-06,-5.12E-06,-3.74E-06,0,7.17E-05
35.56665988,1.90E-05,8.64E-05,18.91738269,-4.98E-06,-5.11E-06,-3.60E-06,0,7.16E-05
35.75583425,1.89E-05,8.64E-05,18.917491,-4.98E-06,-5.10E-06,-3.46E-06,0,7.15E-05
35.94500971,1.88E-05,8.64E-05,18.9176015,-4.98E-06,-5.08E-06,-3.33E-06,0,7.15E-05
36.13418629,1.87E-05,8.63E-05,18.91771416,-4.98E-06,-5.07E-06,-3.20E-06,0,7.14E-05
36.323364,1.86E-05,8.63E-05,18.91782898,-4.98E-06,-5.06E-06,-3.08E-06,0,7.14E-05
36.51254288,1.85E-05,8.63E-05,18.91794593,-4.99E-06,-5.04E-06,-2.95E-06,0,7.13E-05
36.70172293,1.84E-05,8.63E-05,18.91806499,-4.99E-06,-5.03E-06,-2.83E-06,0,7.12E-05
36.89090418,1.83E-05,8.63E-05,18.91818614,-4.99E-06,-5.02E-06,-2.71E-06,0,7.12E-05
37.08008666,1.82E-05,8.63E-05,18.91830936,-4.99E-06,-5.01E-06,-2.59E-06,0,7.11E-05
37.26927038,1.81E-05,8.63E-05,18.91843463,-4.99E-06,-4.99E-06,-2.48E-06,0,7.10E-05
37.45845536,1.80E-05,8.63E-05,18.91856193,-4.99E-06,-4.98E-06,-2.37E-06,0,7.10E-05
37.64764162,1.80E-05,8.63E-05,18.91869124,-4.99E-06,-4.97E-06,-2.26E-06,0,7.09E-05
37.83682919,1.79E-05,8.63E-05,18.91882254,-4.99E-06,-4.96E-06,-2.15E-06,0,7.08E-05
38.02601808,1.78E-05,8.63E-05,18.91895582,-4.99E-06,-4.94E-06,-2.04E-06,0,7.08E-05
38.21520831,1.77E-05,8.63E-05,18.91909105,-4.99E-06,-4.93E-06,-1.94E-06,0,7.07E-05
38.40439991,1.76E-05,8.63E-05,18.91922821,-4.99E-06,-4.92E-06,-1.84E-06,0,7.06E-05
38.59359288,1.76E-05,8.62E-05,18.91936729,-4.99E-06,-4.91E-06,-1.74E-06,0,7.05E-05
38.78278726,1.75E-05,8.62E-05,18.91950826,-5.00E-06,-4.90E-06,-1.65E-06,0,7.05E-05
38.97198305,1.74E-05,8.62E-05,18.91965111,-5.00E-06,-4.89E-06,-1.55E-06,0,7.04E-05
39.16118029,1.73E-05,8.62E-05,18.91979582,-5.00E-06,-4.87E-06,-1.46E-06,0,7.03E-05
39.35037898,1.73E-05,8.62E-05,18.91994236,-5.00E-06,-4.86E-06,-1.37E-06,0,7.02E-05
39.53957914,1.72E-05,8.62E-05,18.92009073,-5.00E-06,-4.85E-06,-1.29E-06,0,7.01E-05
39.7287808,1.71E-05,8.62E-05,18.9202409,-5.00E-06,-4.84E-06,-1.20E-06,0,7.01E-05
39.91798396,1.71E-05,8.62E-05,18.92039284,-5.00E-06,-4.83E-06,-1.12E-06,0,7.00E-05
40.10718866,1.70E-05,8.62E-05,18.92054656,-5.00E-06,-4.82E-06,-1.04E-06,0,6.99E-05
40.2963949,1.70E-05,8.62E-05,18.92070201,-5.01E-06,-4.81E-06,-9.65E-07,0,6.98E-05
40.4856027,1.69E-05,8.62E-05,18.9208592,-5.01E-06,-4.80E-06,-8.90E-07,0,6.97E-05
40.67481209,1.69E-05,8.62E-05,18.92101809,-5.01E-06,-4.79E-06,-8.17E-07,0,6.97E-05
40.86402307,1.68E-05,8.62E-05,18.92117867,-5.01E-06,-4.78E-06,-7.46E-07,0,6.96E-05
