time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
1.11,18.75648671,3.40537E-05,8.20217E-05,17.92439464,-5.28121E-06,-5.68658E-06,0,-1.96006E-05,6.24439E-05
1.12,18.93573046,3.38459E-05,8.20454E-05,17.92435434,-5.2732E-06,-5.69739E-06,0,-1.94156E-05,6.28217E-05
1.13,19.11497381,3.36364E-05,8.20714E-05,17.92431774,-5.26536E-06,-5.70758E-06,0,-1.92278E-05,6.31952E-05
1.14,19.29421682,3.34254E-05,8.20992E-05,17.9242848,-5.25769E-06,-5.71715E-06,0,-1.90373E-05,6.35633E-05
1.15,19.47345952,3.3213E-05,8.21283E-05,17.92425548,-5.25018E-06,-5.72607E-06,0,-1.88442E-05,6.39256E-05
1.16,19.65270194,3.29995E-05,8.21583E-05,17.92422974,-5.24283E-06,-5.73434E-06,0,-1.86486E-05,6.42812E-05
1.17,19.83194413,3.27848E-05,8.21887E-05,17.92420754,-5.23563E-06,-5.74196E-06,0,-1.84506E-05,6.46296E-05
1.18,20.01118611,3.25691E-05,8.22193E-05,17.92418887,-5.22858E-06,-5.74891E-06,0,-1.82504E-05,6.49701E-05
1.19,20.19042792,3.23525E-05,8.22496E-05,17.92417369,-5.22165E-06,-5.7552E-06,0,-1.8048E-05,6.53024E-05
1.2,20.36966959,3.21352E-05,8.22793E-05,17.92416196,-5.21483E-06,-5.76082E-06,0,-1.78436E-05,6.5626E-05
1.21,20.54891117,3.19173E-05,8.23081E-05,17.92415365,-5.20813E-06,-5.76577E-06,0,-1.76372E-05,6.59405E-05
1.22,20.72815268,3.16988E-05,8.23358E-05,17.92414872,-5.20151E-06,-5.77005E-06,0,-1.74291E-05,6.62456E-05
1.23,20.90739415,3.14799E-05,8.23621E-05,17.92414714,-5.19496E-06,-5.77366E-06,0,-1.72192E-05,6.65412E-05
1.24,21.08663563,3.12606E-05,8.23868E-05,17.92414888,-5.18847E-06,-5.77661E-06,0,-1.70078E-05,6.6827E-05
1.25,21.26587714,3.10412E-05,8.24097E-05,17.92415391,-5.18203E-06,-5.77889E-06,0,-1.67949E-05,6.71028E-05
1.26,21.44511872,3.08216E-05,8.24306E-05,17.92416219,-5.17561E-06,-5.78053E-06,0,-1.65806E-05,6.73688E-05
1.27,21.6243604,3.0602E-05,8.24496E-05,17.92417371,-5.16924E-06,-5.78152E-06,0,-1.63651E-05,6.76249E-05
1.28,21.8036022,3.03824E-05,8.24666E-05,17.92418841,-5.16292E-06,-5.78188E-06,0,-1.61485E-05,6.78713E-05
1.29,21.98284417,3.0163E-05,8.24816E-05,17.92420628,-5.15667E-06,-5.78162E-06,0,-1.59309E-05,6.8108E-05
1.3,22.16208634,2.99439E-05,8.24947E-05,17.92422728,-5.15048E-06,-5.78075E-06,0,-1.57123E-05,6.83354E-05
1.31,22.34132873,2.97251E-05,8.2506E-05,17.92425138,-5.1444E-06,-5.77929E-06,0,-1.54929E-05,6.85537E-05
1.32,22.52057138,2.95067E-05,8.25157E-05,17.92427856,-5.13843E-06,-5.77726E-06,0,-1.52729E-05,6.87632E-05
1.33,22.69981431,2.92889E-05,8.2524E-05,17.92430879,-5.13261E-06,-5.77467E-06,0,-1.50523E-05,6.89643E-05
1.34,22.87905756,2.90716E-05,8.2531E-05,17.92434202,-5.12695E-06,-5.77154E-06,0,-1.48312E-05,6.91573E-05
1.35,23.05830116,2.8855E-05,8.2537E-05,17.92437825,-5.12147E-06,-5.7679E-06,0,-1.46097E-05,6.93425E-05
1.36,23.23754514,2.86392E-05,8.2542E-05,17.92441743,-5.11618E-06,-5.76375E-06,0,-1.4388E-05,6.95202E-05
1.37,23.41678952,2.84242E-05,8.25463E-05,17.92445954,-5.11108E-06,-5.75912E-06,0,-1.41662E-05,6.96908E-05
1.38,23.59603434,2.82101E-05,8.255E-05,17.92450455,-5.10617E-06,-5.75403E-06,0,-1.39444E-05,6.98546E-05
1.39,23.77527962,2.7997E-05,8.25533E-05,17.92455245,-5.10145E-06,-5.7485E-06,0,-1.37226E-05,7.00118E-05
1.4,23.9545254,2.7785E-05,8.25562E-05,17.92460318,-5.09692E-06,-5.74255E-06,0,-1.35011E-05,7.01627E-05
1.41,24.13377169,2.75741E-05,8.2559E-05,17.92465674,-5.09258E-06,-5.7362E-06,0,-1.32798E-05,7.03076E-05
1.42,24.31301854,2.73645E-05,8.25616E-05,17.9247131,-5.08841E-06,-5.72946E-06,0,-1.3059E-05,7.04467E-05
1.43,24.49226596,2.7156E-05,8.25642E-05,17.92477222,-5.08441E-06,-5.72235E-06,0,-1.28387E-05,7.05802E-05
1.44,24.67151399,2.6949E-05,8.25668E-05,17.92483408,-5.08058E-06,-5.7149E-06,0,-1.2619E-05,7.07082E-05
1.45,24.85076265,2.67433E-05,8.25694E-05,17.92489866,-5.07691E-06,-5.70711E-06,0,-1.24E-05,7.08309E-05
1.46,25.03001198,2.65391E-05,8.25721E-05,17.92496593,-5.07338E-06,-5.69901E-06,0,-1.21818E-05,7.09485E-05
1.47,25.20926198,2.63363E-05,8.2575E-05,17.92503586,-5.07001E-06,-5.6906E-06,0,-1.19644E-05,7.1061E-05
1.48,25.3885127,2.61352E-05,8.2578E-05,17.92510843,-5.06677E-06,-5.68191E-06,0,-1.17481E-05,7.11685E-05
1.49,25.56776416,2.59356E-05,8.25811E-05,17.92518362,-5.06367E-06,-5.67294E-06,0,-1.15328E-05,7.12711E-05
1.5,25.74701638,2.57377E-05,8.25843E-05,17.92526139,-5.06071E-06,-5.66371E-06,0,-1.13186E-05,7.1369E-05
1.51,25.9262694,2.55416E-05,8.25877E-05,17.92534173,-5.05787E-06,-5.65422E-06,0,-1.11055E-05,7.1462E-05
1.52,26.10552323,2.53471E-05,8.25912E-05,17.9254246,-5.05516E-06,-5.6445E-06,0,-1.08938E-05,7.15503E-05
1.53,26.2847779,2.51545E-05,8.25947E-05,17.92550999,-5.05258E-06,-5.63455E-06,0,-1.06834E-05,7.1634E-05
1.54,26.46403343,2.49637E-05,8.25983E-05,17.92559786,-5.05011E-06,-5.62439E-06,0,-1.04743E-05,7.17129E-05
1.55,26.64328986,2.47748E-05,8.26019E-05,17.9256882,-5.04777E-06,-5.61401E-06,0,-1.02667E-05,7.17873E-05
1.56,26.82254721,2.45878E-05,8.26056E-05,17.92578097,-5.04555E-06,-5.60344E-06,0,-1.00606E-05,7.18571E-05
1.57,27.00180549,2.44028E-05,8.26091E-05,17.92587616,-5.04343E-06,-5.59268E-06,0,-9.85606E-06,7.19223E-05
